Energy,Absorption
1331.845,6.861
1333.048,8.714
1334.251,10.579
1335.453,10.441
1336.656,2.303
1337.858,2.165
1339.06,6.027
1340.261,2.113
1341.463,4.747
1342.664,10.605
1343.866,10.464
1345.067,14.323
1346.267,9.181
1347.468,8.027
1348.669,18.884
1349.869,11.741
1351.069,14.598
1352.269,20.455
1353.469,11.311
1354.668,11.167
1355.868,7.033
1357.067,8.874
1358.266,1.729
1359.465,8.581
1360.664,14.436
1361.862,7.291
1363.061,10.146
1364.259,7.001
1365.457,15.785
1366.655,2.493
1367.852,12.35
1369.05,4.226
1370.247,5.85
1371.444,9.708
1372.641,3.568
1373.838,0.424
1375.035,9.296
1376.231,3.254
1377.427,1.119
1378.623,17.979
1379.819,0.836
1381.015,2.599
1382.211,1.631
1383.406,10.242
1384.601,7.114
1385.796,3.986
1386.991,1.15
1388.185,1.72
1389.38,19.589
1390.574,1.458
1391.768,15.327
1392.962,1.198
1394.156,7.069
1395.35,3.939
1396.543,4.799
1397.736,4.796
1398.929,1.929
1400.122,2.166
1401.315,1.02
1402.507,0.483
1403.7,7.755
1404.892,7.614
1406.084,6.465
1407.276,17.318
1408.467,11.18
1409.659,5.035
1410.85,11.898
1412.041,2.763
1413.232,4.607
1414.423,16.471
1415.614,14.334
1416.804,6.198
1417.994,14.052
1419.184,13.915
1420.374,8.777
1421.564,7.64
1422.753,0.494
1423.943,12.354
1425.132,19.948
1426.321,10.645
1427.51,12.498
1428.698,9.365
1429.887,2.769
1431.075,14.062
1432.263,6.697
1433.451,13.559
1434.639,18.422
1435.827,17.285
1437.014,13.148
1438.201,2.011
1439.388,4.874
1440.575,10.738
1441.762,0.577
1442.949,11.44
1444.135,6.304
1445.321,1.151
1446.507,7.013
1447.693,8.883
1448.879,4.709
1450.064,2.565
1451.25,11.402
1452.435,0.784
1453.62,22.876
1454.805,6.734
1455.989,16.419
1457.174,19.25
1458.358,5.077
1459.542,13.927
1460.726,18.784
1461.91,1.591
1463.093,10.339
1464.277,16.198
1465.46,9.057
1466.643,12.916
1467.826,2.752
1469.009,3.851
1470.191,6.465
1471.373,9.323
1472.556,10.179
1473.738,7.134
1474.919,8.248
1476.101,8.075
1477.283,7.038
1478.464,6.897
1479.645,9.023
1480.826,5.574
1482.007,8.429
1483.187,10.222
1484.368,4.019
1485.548,12.868
1486.728,19.678
1487.908,5.358
1489.088,19.207
1490.268,9.063
1491.447,16.919
1492.626,13.713
1493.805,9.572
1494.984,13.431
1496.163,11.215
1497.341,3.07
1498.52,14.927
1499.698,17.784
1500.876,9.668
1502.054,14.554
1503.232,6.446
1504.409,17.313
1505.586,22.227
1506.763,20.154
1507.94,11.093
1509.117,10.047
1510.294,2.899
1511.47,15.884
1512.647,21.888
1513.823,11.92
1514.999,11.982
1516.174,6.077
1517.35,0.239
1518.526,8.85
1519.701,14.397
1520.876,1.165
1522.051,0.0
