Energy,Fe foil,Fe2O3,Fe3O4,FeO
7767.361,1.0024298,0.99924784,0.99970122,1.0022467
7772.359,1.0011711,0.99886018,0.99970728,1.0021749
7777.377,1.0014408,0.9987151,0.99970177,1.0020499
7782.413,1.001675,0.9989654,0.99983823,1.0019676
7787.468,1.0018885,0.99962751,0.99973786,1.0018711
7792.543,1.0007034,0.99940702,0.99960093,1.0017608
7797.636,1.0026118,0.99734358,0.99922767,1.0016742
7802.748,1.0031753,0.99800034,0.99902653,1.0016247
7807.88,1.0028867,0.99669813,0.99875233,1.0015146
7813.03,1.0045039,0.99684855,0.99832575,1.0014002
7818.2,1.0049161,0.99741846,0.99811134,1.0011574
7823.388,1.0051143,0.99674196,0.99773627,1.0010395
7828.596,1.005293,0.99466244,0.99713179,1.0009946
7833.822,1.0059799,0.99384735,0.99691094,1.0008615
7839.068,1.0060064,0.99386319,0.99644512,1.0007232
7844.332,1.0054131,0.99503033,0.99563546,1.0006816
7849.616,1.0064041,0.99431085,0.99531512,1.0005122
7854.918,1.0064942,0.99343133,0.99474055,1.0003458
7860.24,1.0061972,0.99275538,0.9943288,1.0002355
7865.58,1.0053457,0.9921381,0.99395717,1.0001427
7870.94,1.0052722,0.99188161,0.99363883,1.0000962
7876.319,1.0050016,0.99281243,0.99325751,0.99992916
7881.717,1.0043919,0.99277247,0.99295764,0.99963634
7887.133,1.003675,0.99172282,0.99259736,0.99949944
7892.569,1.0043636,0.99086283,0.99213336,0.99937582
7898.024,1.0040289,0.99140666,0.99185934,0.99914716
7903.497,1.0038704,0.99070678,0.99156351,0.99885889
7908.99,1.0036665,0.98945659,0.99127894,0.99870182
7914.502,1.0034527,0.98790599,0.99074015,0.99852414
7920.033,1.0030642,0.9855701,0.99010908,0.99837716
7925.583,1.0028037,0.98459563,0.98949639,0.99816602
7931.152,1.0035697,0.98308194,0.98902898,0.99782034
7936.74,1.0032968,0.98300624,0.98854139,0.99765191
7942.347,1.0032859,0.98299187,0.98806753,0.99743512
7947.973,1.0042185,0.98326588,0.98749028,0.99722918
7953.618,1.0044725,0.98141473,0.98679128,0.99735252
7959.282,1.0041364,0.98174636,0.98587302,0.99682297
