energy,Fe_foil,Fe2O3,Fe3O4,FeO
8052.493,-1.21E-03,-7.80E-04,1.23E-03,-6.07E-04
8058.48,-1.31E-03,-7.81E-04,1.41E-03,-6.04E-04
8064.486,-1.20E-03,-7.82E-04,1.58E-03,-5.90E-04
8070.512,-1.18E-03,-7.83E-04,1.75E-03,-5.96E-04
8076.556,-1.20E-03,-7.84E-04,1.93E-03,-5.99E-04
8082.62,-1.05E-03,-7.85E-04,2.10E-03,-5.64E-04
8088.702,-9.85E-04,-7.86E-04,2.28E-03,-4.38E-04
8094.803,-1.04E-03,-7.87E-04,2.45E-03,-3.02E-04
8100.924,-9.19E-04,-7.88E-04,2.63E-03,-1.66E-04
8107.063,-9.15E-04,-7.89E-04,2.81E-03,-2.85E-05
8113.222,-1.14E-03,-7.90E-04,2.99E-03,1.09E-04
8119.399,-1.15E-03,-7.91E-04,3.17E-03,2.47E-04
8125.596,-1.01E-03,-7.92E-04,3.34E-03,3.85E-04
8131.812,-9.84E-04,-7.93E-04,3.52E-03,5.24E-04
8138.046,-1.18E-03,-7.94E-04,3.70E-03,6.63E-04
8144.3,-1.04E-03,-7.95E-04,3.88E-03,8.03E-04
8150.573,-8.67E-04,-7.96E-04,4.07E-03,9.43E-04
8156.865,-1.17E-03,-7.97E-04,4.25E-03,1.08E-03
