energy,Fe_foil,Fe2O3,Fe3O4,FeO
7272.094,-8.33E-05,-1.28E-04,-1.56E-04,-2.97E-04
7274.562,-6.70E-04,1.83E-04,-1.38E-04,-3.14E-04
7277.05,-2.98E-04,-9.46E-06,-1.32E-04,-3.02E-04
7279.556,2.83E-04,-1.54E-04,-2.04E-04,-2.75E-04
7282.081,2.29E-04,-2.08E-04,-3.25E-04,-1.92E-04
7284.626,-3.78E-04,-2.17E-04,-2.66E-04,-8.52E-05
7287.189,-1.25E-03,-8.43E-05,-3.68E-05,4.29E-05
7289.772,-1.84E-03,-3.69E-05,1.80E-04,2.14E-04
7292.373,-1.44E-03,-9.88E-05,2.48E-04,3.61E-04
7294.994,-4.31E-04,-1.75E-04,1.48E-04,4.09E-04
7297.634,3.31E-04,-2.66E-04,4.31E-05,3.96E-04
7300.292,6.67E-04,-1.50E-04,1.61E-05,3.44E-04
7302.97,7.83E-04,1.32E-04,4.55E-05,2.09E-04
7305.667,7.64E-04,1.18E-04,1.28E-04,7.07E-05
7308.382,6.59E-04,-7.29E-05,2.33E-04,-2.28E-05
7311.117,3.95E-04,-5.71E-05,2.76E-04,-1.03E-04
7313.871,3.13E-05,6.97E-05,2.40E-04,-1.58E-04
7316.643,-1.03E-04,2.51E-04,1.52E-04,-1.57E-04
7319.435,-2.70E-05,4.15E-04,2.33E-05,-1.23E-04
7322.246,3.33E-05,4.10E-04,-7.53E-05,-9.77E-05
7325.076,-6.23E-06,2.89E-04,-1.48E-04,-8.95E-05
7327.925,-1.86E-04,1.78E-04,-2.33E-04,-8.26E-05
7330.792,-2.89E-04,1.02E-04,-2.36E-04,-6.92E-05
7333.68,-2.45E-05,1.46E-05,-1.36E-04,-5.94E-05
7336.585,4.12E-04,-4.20E-05,-7.28E-05,-4.79E-05
7339.51,6.79E-04,-2.09E-04,-8.88E-05,-2.84E-05
7342.454,6.92E-04,-3.80E-04,-6.42E-05,-1.50E-07
7345.417,4.45E-04,-2.81E-04,3.45E-05,3.57E-05
7348.399,7.05E-05,-1.39E-04,1.09E-04,6.51E-05
7351.4,-1.83E-04,-7.38E-05,9.39E-05,7.27E-05
7354.42,-2.10E-04,-4.00E-05,7.39E-05,4.56E-05
7357.459,-1.93E-04,-8.77E-05,8.01E-05,-1.52E-07
7360.517,-3.40E-04,-5.18E-05,7.23E-05,-2.29E-05
7363.594,-5.30E-04,7.96E-05,6.89E-05,-1.29E-05
7366.69,-6.83E-04,9.71E-05,1.15E-05,9.04E-06
7369.806,-8.15E-04,6.74E-05,-8.11E-05,3.60E-05
7372.94,-8.04E-04,4.93E-05,-9.74E-05,5.43E-05
7376.093,-5.20E-04,5.45E-05,-4.04E-05,4.38E-05
7379.265,1.01E-04,6.52E-05,1.62E-05,2.97E-05
7382.456,7.89E-04,-3.79E-06,5.04E-05,3.31E-05
7385.666,1.02E-03,-3.16E-05,5.94E-05,3.08E-05
7388.896,7.40E-04,2.61E-05,4.88E-05,6.95E-07
7392.144,2.88E-04,1.45E-04,1.50E-05,-3.13E-05
7395.412,-9.15E-05,2.50E-04,-4.57E-05,-4.33E-05
7398.698,-2.21E-04,1.56E-04,-7.17E-05,-5.61E-05
7402.003,-8.75E-05,-1.70E-05,-5.59E-05,-6.39E-05
7405.328,5.01E-05,-1.36E-04,-3.71E-05,-5.59E-05
7408.671,3.13E-05,-1.76E-04,-1.36E-05,-4.19E-05
7412.033,-5.16E-05,-8.42E-05,7.41E-06,-2.69E-05
7415.415,-1.19E-04,-4.34E-05,3.45E-06,-5.74E-06
7418.815,-1.76E-04,-1.15E-04,3.21E-06,2.98E-05
7422.235,-1.09E-04,-1.07E-04,1.22E-05,5.22E-05
7425.673,1.26E-04,-3.47E-05,7.49E-06,5.05E-05
7429.131,2.56E-04,-4.64E-05,2.84E-06,7.81E-05
7432.607,2.11E-04,-4.52E-05,1.38E-05,4.76E-05
7436.103,2.02E-04,4.63E-05,4.87E-05,-6.68E-05
7439.617,1.85E-04,5.65E-05,6.68E-05,-4.53E-05
7443.151,2.91E-05,9.75E-06,4.22E-05,4.81E-05
7446.704,-1.72E-04,6.74E-05,5.21E-06,4.23E-05
